Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status,brand,name,defaultimage,baseprice,shoetype,usagetype
nmdr1,NMD_R1,<p>Adidas NMD_R1. Category: Running.</p>,Adidas,running_shoe,"running_shoe, sport, adidas",TRUE,Color,Pink,Size,US 8.5,ADIDAS-NMD_R1-PINK-US8.,500,shopify,100,deny,manual,2990000,3588000,TRUE,TRUE,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?w=400,1,NMD_R1,FALSE,NMD_R1 | Adidas,Buy NMD_R1 by Adidas. Type: running_shoe. Usage: sport.,active,Adidas,NMD_R1,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?w=400,2990000,running_shoe,sport
zig-kinetica-ii,Zig Kinetica II,<p>Reebok Zig Kinetica II. Category: Running.</p>,Reebok,running_shoe,"running_shoe, sport, reebok",TRUE,Color,Blue,Size,US 9,REEBOK-ZIGKINETIC-BLUE-US9,500,shopify,100,deny,manual,2760000,3312000,TRUE,TRUE,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?w=400,1,Zig Kinetica II,FALSE,Zig Kinetica II | Reebok,Buy Zig Kinetica II by Reebok. Type: running_shoe. Usage: sport.,active,Reebok,Zig Kinetica II,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?w=400,2760000,running_shoe,sport
chuck-70,Chuck 70,<p>Converse Chuck 70. Category: Casual.</p>,Converse,sneaker,"sneaker, casual, converse",TRUE,Color,Black,Size,US 7,CONVERSE-CHUCK70-BLACK-US7,500,shopify,100,deny,manual,1955000,2346000,TRUE,TRUE,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400,1,Chuck 70,FALSE,Chuck 70 | Converse,Buy Chuck 70 by Converse. Type: sneaker. Usage: casual.,active,Converse,Chuck 70,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400,1955000,sneaker,casual
clyde-all-pro,Clyde All-Pro,<p>Puma Clyde All-Pro. Category: Basketball.</p>,Puma,basketball_shoe,"basketball_shoe, sport, puma",TRUE,Color,White,Size,US 10,PUMA-CLYDEALL-P-WHITE-US10,500,shopify,100,deny,manual,2990000,3588000,TRUE,TRUE,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?w=400,1,Clyde All-Pro,FALSE,Clyde All-Pro | Puma,Buy Clyde All-Pro by Puma. Type: basketball_shoe. Usage: sport.,active,Puma,Clyde All-Pro,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?w=400,2990000,basketball_shoe,sport
574-classic,574 Classic,<p>New Balance 574 Classic. Category: Casual.</p>,New Balance,sneaker,"sneaker, casual, new balance",TRUE,Color,Grey,Size,US 10.5,NEWBALAN-574CLASSIC-GREY-US10,500,shopify,100,deny,manual,1840000,2208000,TRUE,TRUE,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?w=400,1,574 Classic,FALSE,574 Classic | New Balance,Buy 574 Classic by New Balance. Type: sneaker. Usage: casual.,active,New Balance,574 Classic,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?w=400,1840000,sneaker,casual
gel-quantum-90-3,Gel-Quantum 90 3,<p>Asics Gel-Quantum 90 3. Category: Running.</p>,Asics,running_shoe,"running_shoe, sport, asics",TRUE,Color,Black,Size,US 7.5,ASICS-GEL-QUANTU-BLACK-US7.,500,shopify,100,deny,manual,1610000,1932000,TRUE,TRUE,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=400,1,Gel-Quantum 90 3,FALSE,Gel-Quantum 90 3 | Asics,Buy Gel-Quantum 90 3 by Asics. Type: running_shoe. Usage: sport.,active,Asics,Gel-Quantum 90 3,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=400,1610000,running_shoe,sport
mindblower,Mindblower,<p>Fila Mindblower. Category: Fashion.</p>,Fila,sneaker,"sneaker, casual, fila",TRUE,Color,Grey,Size,US 11,FILA-MINDBLOWER-GREY-US11,500,shopify,100,deny,manual,1725000,2070000,TRUE,TRUE,https://images.unsplash.com/photo-1460353581641-37baddab0fa2?w=400,1,Mindblower,FALSE,Mindblower | Fila,Buy Mindblower by Fila. Type: sneaker. Usage: casual.,active,Fila,Mindblower,https://images.unsplash.com/photo-1460353581641-37baddab0fa2?w=400,1725000,sneaker,casual
max-cushioning-premier,Max Cushioning Premier,<p>Skechers Max Cushioning Premier. Category: Running.</p>,Skechers,running_shoe,"running_shoe, sport, skechers",TRUE,Color,Pink,Size,US 7.5,SKECHERS-MAXCUSHION-PINK-US7.,500,shopify,100,deny,manual,2070000,2484000,TRUE,TRUE,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?w=400,1,Max Cushioning Premier,FALSE,Max Cushioning Premier | Skechers,Buy Max Cushioning Premier by Skechers. Type: running_shoe. Usage: sport.,active,Skechers,Max Cushioning Premier,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?w=400,2070000,running_shoe,sport
blazer-mid-77,Blazer Mid '77,<p>Nike Blazer Mid '77. Category: Casual.</p>,Nike,sneaker,"sneaker, casual, nike",TRUE,Color,White,Size,US 9.5,NIKE-BLAZERMID'-WHITE-US9.,500,shopify,100,deny,manual,2300000,2760000,TRUE,TRUE,https://images.unsplash.com/photo-1460353581641-37baddab0fa2?w=400,1,Blazer Mid '77,FALSE,Blazer Mid '77 | Nike,Buy Blazer Mid '77 by Nike. Type: sneaker. Usage: casual.,active,Nike,Blazer Mid '77,https://images.unsplash.com/photo-1460353581641-37baddab0fa2?w=400,2300000,sneaker,casual
superstar,Superstar,<p>Adidas Superstar. Category: Casual.</p>,Adidas,sneaker,"sneaker, casual, adidas",TRUE,Color,Black/White,Size,US 7.5,ADIDAS-SUPERSTAR-BLACK/-US7.,500,shopify,100,deny,manual,1955000,2346000,TRUE,TRUE,https://images.unsplash.com/photo-1551107696-a4b0c5a0d9a2?w=400,1,Superstar,FALSE,Superstar | Adidas,Buy Superstar by Adidas. Type: sneaker. Usage: casual.,active,Adidas,Superstar,https://images.unsplash.com/photo-1551107696-a4b0c5a0d9a2?w=400,1955000,sneaker,casual
dmx-thrill,DMX Thrill,<p>Reebok DMX Thrill. Category: Running.</p>,Reebok,running_shoe,"running_shoe, sport, reebok",TRUE,Color,Black,Size,US 10,REEBOK-DMXTHRILL-BLACK-US10,500,shopify,100,deny,manual,1610000,1932000,TRUE,TRUE,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=400,1,DMX Thrill,FALSE,DMX Thrill | Reebok,Buy DMX Thrill by Reebok. Type: running_shoe. Usage: sport.,active,Reebok,DMX Thrill,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=400,1610000,running_shoe,sport
jack-purcell,Jack Purcell,<p>Converse Jack Purcell. Category: Casual.</p>,Converse,sneaker,"sneaker, casual, converse",TRUE,Color,White,Size,US 8.5,CONVERSE-JACKPURCEL-WHITE-US8.,500,shopify,100,deny,manual,1495000,1794000,TRUE,TRUE,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?w=400,1,Jack Purcell,FALSE,Jack Purcell | Converse,Buy Jack Purcell by Converse. Type: sneaker. Usage: casual.,active,Converse,Jack Purcell,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?w=400,1495000,sneaker,casual
calibrate-runner,Calibrate Runner,<p>Puma Calibrate Runner. Category: Running.</p>,Puma,running_shoe,"running_shoe, sport, puma",TRUE,Color,Black/Yellow,Size,US 9.5,PUMA-CALIBRATER-BLACK/-US9.,500,shopify,100,deny,manual,3220000,3864000,TRUE,TRUE,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?w=400,1,Calibrate Runner,FALSE,Calibrate Runner | Puma,Buy Calibrate Runner by Puma. Type: running_shoe. Usage: sport.,active,Puma,Calibrate Runner,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?w=400,3220000,running_shoe,sport
slip-on,Slip-On,<p>Vans Slip-On. Category: Skate.</p>,Vans,sneaker,"sneaker, casual, vans",TRUE,Color,Checkered,Size,US 6.5,VANS-SLIP-ON-CHECKE-US6.,500,shopify,100,deny,manual,1150000,1380000,TRUE,TRUE,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?w=400,1,Slip-On,FALSE,Slip-On | Vans,Buy Slip-On by Vans. Type: sneaker. Usage: casual.,active,Vans,Slip-On,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?w=400,1150000,sneaker,casual
fresh-foam-beacon-v3,Fresh Foam Beacon V3,<p>New Balance Fresh Foam Beacon V3. Category: Running.</p>,New Balance,running_shoe,"running_shoe, sport, new balance",TRUE,Color,Blue,Size,US 11,NEWBALAN-FRESHFOAMB-BLUE-US11,500,shopify,100,deny,manual,2760000,3312000,TRUE,TRUE,https://images.unsplash.com/photo-1515955656352-a1fa3ffcd111?w=400,1,Fresh Foam Beacon V3,FALSE,Fresh Foam Beacon V3 | New Balance,Buy Fresh Foam Beacon V3 by New Balance. Type: running_shoe. Usage: sport.,active,New Balance,Fresh Foam Beacon V3,https://images.unsplash.com/photo-1515955656352-a1fa3ffcd111?w=400,2760000,running_shoe,sport
gel-venture-8,Gel-Venture 8,<p>Asics Gel-Venture 8. Category: Trail.</p>,Asics,sneaker,"sneaker, casual, asics",TRUE,Color,Grey,Size,US 9.5,ASICS-GEL-VENTUR-GREY-US9.,500,shopify,100,deny,manual,1610000,1932000,TRUE,TRUE,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400,1,Gel-Venture 8,FALSE,Gel-Venture 8 | Asics,Buy Gel-Venture 8 by Asics. Type: sneaker. Usage: casual.,active,Asics,Gel-Venture 8,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400,1610000,sneaker,casual
f-13,F-13,<p>Fila F-13. Category: Fashion.</p>,Fila,sneaker,"sneaker, casual, fila",TRUE,Color,White,Size,US 10,FILA-F-13-WHITE-US10,500,shopify,100,deny,manual,1610000,1932000,TRUE,TRUE,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?w=400,1,F-13,FALSE,F-13 | Fila,Buy F-13 by Fila. Type: sneaker. Usage: casual.,active,Fila,F-13,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?w=400,1610000,sneaker,casual
equalizer-40,Equalizer 4.0,<p>Skechers Equalizer 4.0. Category: Training.</p>,Skechers,training_shoe,"training_shoe, sport, skechers",TRUE,Color,Black,Size,US 8.5,SKECHERS-EQUALIZER4-BLACK-US8.,500,shopify,100,deny,manual,1495000,1794000,TRUE,TRUE,https://images.unsplash.com/photo-1515955656352-a1fa3ffcd111?w=400,1,Equalizer 4.0,FALSE,Equalizer 4.0 | Skechers,Buy Equalizer 4.0 by Skechers. Type: training_shoe. Usage: sport.,active,Skechers,Equalizer 4.0,https://images.unsplash.com/photo-1515955656352-a1fa3ffcd111?w=400,1495000,training_shoe,sport
kd13,KD13,<p>Nike KD13. Category: Basketball.</p>,Nike,basketball_shoe,"basketball_shoe, sport, nike",TRUE,Color,Blue,Size,US 11,NIKE-KD13-BLUE-US11,500,shopify,100,deny,manual,3450000,4140000,TRUE,TRUE,https://images.unsplash.com/photo-1551107696-a4b0c5a0d9a2?w=400,1,KD13,FALSE,KD13 | Nike,Buy KD13 by Nike. Type: basketball_shoe. Usage: sport.,active,Nike,KD13,https://images.unsplash.com/photo-1551107696-a4b0c5a0d9a2?w=400,3450000,basketball_shoe,sport
react-infinity-run-flyknit-2,React Infinity Run Flyknit 2,<p>Nike React Infinity Run Flyknit 2. Category: Running.</p>,Nike,running_shoe,"running_shoe, sport, nike",TRUE,Color,Black/White,Size,US 9.5,NIKE-REACTINFIN-BLACK/-US9.,500,shopify,100,deny,manual,3680000,4416000,TRUE,TRUE,https://images.unsplash.com/photo-1560769629-975ec94e6a86?w=400,1,React Infinity Run Flyknit 2,FALSE,React Infinity Run Flyknit 2 | Nike,Buy React Infinity Run Flyknit 2 by Nike. Type: running_shoe. Usage: sport.,active,Nike,React Infinity Run Flyknit 2,https://images.unsplash.com/photo-1560769629-975ec94e6a86?w=400,3680000,running_shoe,sport
nmdr1,NMD_R1,<p>Adidas NMD_R1. Category: Lifestyle.</p>,Adidas,sneaker,"sneaker, casual, adidas",TRUE,Color,Grey,Size,US 11.5,ADIDAS-NMD_R1-GREY-US11,500,shopify,100,deny,manual,3220000,3864000,TRUE,TRUE,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?w=400,1,NMD_R1,FALSE,NMD_R1 | Adidas,Buy NMD_R1 by Adidas. Type: sneaker. Usage: casual.,active,Adidas,NMD_R1,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?w=400,3220000,sneaker,casual
aztrek-96,Aztrek 96,<p>Reebok Aztrek 96. Category: Casual.</p>,Reebok,sneaker,"sneaker, casual, reebok",TRUE,Color,Yellow/Black,Size,US 8.5,REEBOK-AZTREK96-YELLOW-US8.,500,shopify,100,deny,manual,2070000,2484000,TRUE,TRUE,https://images.unsplash.com/photo-1560769629-975ec94e6a86?w=400,1,Aztrek 96,FALSE,Aztrek 96 | Reebok,Buy Aztrek 96 by Reebok. Type: sneaker. Usage: casual.,active,Reebok,Aztrek 96,https://images.unsplash.com/photo-1560769629-975ec94e6a86?w=400,2070000,sneaker,casual
jack-purcell,Jack Purcell,<p>Converse Jack Purcell. Category: Casual.</p>,Converse,sneaker,"sneaker, casual, converse",TRUE,Color,Navy/White,Size,US 9,CONVERSE-JACKPURCEL-NAVY/W-US9,500,shopify,100,deny,manual,1610000,1932000,TRUE,TRUE,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?w=400,1,Jack Purcell,FALSE,Jack Purcell | Converse,Buy Jack Purcell by Converse. Type: sneaker. Usage: casual.,active,Converse,Jack Purcell,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?w=400,1610000,sneaker,casual
calibrate-runner,Calibrate Runner,<p>Puma Calibrate Runner. Category: Running.</p>,Puma,running_shoe,"running_shoe, sport, puma",TRUE,Color,Black,Size,US 10,PUMA-CALIBRATER-BLACK-US10,500,shopify,100,deny,manual,2300000,2760000,TRUE,TRUE,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?w=400,1,Calibrate Runner,FALSE,Calibrate Runner | Puma,Buy Calibrate Runner by Puma. Type: running_shoe. Usage: sport.,active,Puma,Calibrate Runner,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?w=400,2300000,running_shoe,sport
sk8-hi,Sk8-Hi,<p>Vans Sk8-Hi. Category: Skate.</p>,Vans,sneaker,"sneaker, casual, vans",TRUE,Color,Black/White,Size,US 7.5,VANS-SK8-HI-BLACK/-US7.,500,shopify,100,deny,manual,1495000,1794000,TRUE,TRUE,https://images.unsplash.com/photo-1551107696-a4b0c5a0d9a2?w=400,1,Sk8-Hi,FALSE,Sk8-Hi | Vans,Buy Sk8-Hi by Vans. Type: sneaker. Usage: casual.,active,Vans,Sk8-Hi,https://images.unsplash.com/photo-1551107696-a4b0c5a0d9a2?w=400,1495000,sneaker,casual
327,327,<p>New Balance 327. Category: Casual.</p>,New Balance,sneaker,"sneaker, casual, new balance",TRUE,Color,Green,Size,US 10,NEWBALAN-327-GREEN-US10,500,shopify,100,deny,manual,2070000,2484000,TRUE,TRUE,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?w=400,1,327,FALSE,327 | New Balance,Buy 327 by New Balance. Type: sneaker. Usage: casual.,active,New Balance,327,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?w=400,2070000,sneaker,casual
gt-2000-10,GT-2000 10,<p>Asics GT-2000 10. Category: Running.</p>,Asics,running_shoe,"running_shoe, sport, asics",TRUE,Color,Blue,Size,US 8,ASICS-GT-200010-BLUE-US8,500,shopify,100,deny,manual,2760000,3312000,TRUE,TRUE,https://images.unsplash.com/photo-1551107696-a4b0c5a0d9a2?w=400,1,GT-2000 10,FALSE,GT-2000 10 | Asics,Buy GT-2000 10 by Asics. Type: running_shoe. Usage: sport.,active,Asics,GT-2000 10,https://images.unsplash.com/photo-1551107696-a4b0c5a0d9a2?w=400,2760000,running_shoe,sport
trailblazer,Trailblazer,<p>Fila Trailblazer. Category: Fashion.</p>,Fila,sneaker,"sneaker, casual, fila",TRUE,Color,White/Grey,Size,US 9,FILA-TRAILBLAZE-WHITE/-US9,500,shopify,100,deny,manual,1955000,2346000,TRUE,TRUE,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=400,1,Trailblazer,FALSE,Trailblazer | Fila,Buy Trailblazer by Fila. Type: sneaker. Usage: casual.,active,Fila,Trailblazer,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=400,1955000,sneaker,casual
max-cushioning-premier,Max Cushioning Premier,<p>Skechers Max Cushioning Premier. Category: Running.</p>,Skechers,running_shoe,"running_shoe, sport, skechers",TRUE,Color,Grey/Pink,Size,US 7,SKECHERS-MAXCUSHION-GREY/P-US7,500,shopify,100,deny,manual,2415000,2898000,TRUE,TRUE,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?w=400,1,Max Cushioning Premier,FALSE,Max Cushioning Premier | Skechers,Buy Max Cushioning Premier by Skechers. Type: running_shoe. Usage: sport.,active,Skechers,Max Cushioning Premier,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?w=400,2415000,running_shoe,sport
blazer-mid-77,Blazer Mid '77,<p>Nike Blazer Mid '77. Category: Casual.</p>,Nike,sneaker,"sneaker, casual, nike",TRUE,Color,Green,Size,US 8.5,NIKE-BLAZERMID'-GREEN-US8.,500,shopify,100,deny,manual,2300000,2760000,TRUE,TRUE,https://images.unsplash.com/photo-1460353581641-37baddab0fa2?w=400,1,Blazer Mid '77,FALSE,Blazer Mid '77 | Nike,Buy Blazer Mid '77 by Nike. Type: sneaker. Usage: casual.,active,Nike,Blazer Mid '77,https://images.unsplash.com/photo-1460353581641-37baddab0fa2?w=400,2300000,sneaker,casual
ultraboost-60,Ultraboost 6.0,<p>Adidas Ultraboost 6.0. Category: Running.</p>,Adidas,running_shoe,"running_shoe, sport, adidas",TRUE,Color,Black/White,Size,US 7.5,ADIDAS-ULTRABOOST-BLACK/-US7.,500,shopify,100,deny,manual,4140000,4968000,TRUE,TRUE,https://images.unsplash.com/photo-1515955656352-a1fa3ffcd111?w=400,1,Ultraboost 6.0,FALSE,Ultraboost 6.0 | Adidas,Buy Ultraboost 6.0 by Adidas. Type: running_shoe. Usage: sport.,active,Adidas,Ultraboost 6.0,https://images.unsplash.com/photo-1515955656352-a1fa3ffcd111?w=400,4140000,running_shoe,sport
classic-nylon,Classic Nylon,<p>Reebok Classic Nylon. Category: Casual.</p>,Reebok,sneaker,"sneaker, casual, reebok",TRUE,Color,Blue/White,Size,US 11.5,REEBOK-CLASSICNYL-BLUE/W-US11,500,shopify,100,deny,manual,1380000,1656000,TRUE,TRUE,https://images.unsplash.com/photo-1460353581641-37baddab0fa2?w=400,1,Classic Nylon,FALSE,Classic Nylon | Reebok,Buy Classic Nylon by Reebok. Type: sneaker. Usage: casual.,active,Reebok,Classic Nylon,https://images.unsplash.com/photo-1460353581641-37baddab0fa2?w=400,1380000,sneaker,casual
pro-leather,Pro Leather,<p>Converse Pro Leather. Category: Casual.</p>,Converse,sneaker,"sneaker, casual, converse",TRUE,Color,White/Green,Size,US 9.5,CONVERSE-PROLEATHER-WHITE/-US9.,500,shopify,100,deny,manual,1725000,2070000,TRUE,TRUE,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400,1,Pro Leather,FALSE,Pro Leather | Converse,Buy Pro Leather by Converse. Type: sneaker. Usage: casual.,active,Converse,Pro Leather,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400,1725000,sneaker,casual
clyde-all-pro,Clyde All-Pro,<p>Puma Clyde All-Pro. Category: Basketball.</p>,Puma,basketball_shoe,"basketball_shoe, sport, puma",TRUE,Color,Black,Size,US 9.5,PUMA-CLYDEALL-P-BLACK-US9.,500,shopify,100,deny,manual,2990000,3588000,TRUE,TRUE,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?w=400,1,Clyde All-Pro,FALSE,Clyde All-Pro | Puma,Buy Clyde All-Pro by Puma. Type: basketball_shoe. Usage: sport.,active,Puma,Clyde All-Pro,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?w=400,2990000,basketball_shoe,sport
era-95-dx,Era 95 DX,<p>Vans Era 95 DX. Category: Skate.</p>,Vans,sneaker,"sneaker, casual, vans",TRUE,Color,Black/White,Size,US 6.5,VANS-ERA95DX-BLACK/-US6.,500,shopify,100,deny,manual,1495000,1794000,TRUE,TRUE,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=400,1,Era 95 DX,FALSE,Era 95 DX | Vans,Buy Era 95 DX by Vans. Type: sneaker. Usage: casual.,active,Vans,Era 95 DX,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=400,1495000,sneaker,casual
fresh-foam-more-v3,Fresh Foam More v3,<p>New Balance Fresh Foam More v3. Category: Running.</p>,New Balance,running_shoe,"running_shoe, sport, new balance",TRUE,Color,Black/Grey,Size,US 10,NEWBALAN-FRESHFOAMM-BLACK/-US10,500,shopify,100,deny,manual,3795000,4554000,TRUE,TRUE,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?w=400,1,Fresh Foam More v3,FALSE,Fresh Foam More v3 | New Balance,Buy Fresh Foam More v3 by New Balance. Type: running_shoe. Usage: sport.,active,New Balance,Fresh Foam More v3,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?w=400,3795000,running_shoe,sport
gel-quantum-360-6,Gel-Quantum 360 6,<p>Asics Gel-Quantum 360 6. Category: Running.</p>,Asics,running_shoe,"running_shoe, sport, asics",TRUE,Color,Grey/Green,Size,US 9,ASICS-GEL-QUANTU-GREY/G-US9,500,shopify,100,deny,manual,4140000,4968000,TRUE,TRUE,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400,1,Gel-Quantum 360 6,FALSE,Gel-Quantum 360 6 | Asics,Buy Gel-Quantum 360 6 by Asics. Type: running_shoe. Usage: sport.,active,Asics,Gel-Quantum 360 6,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400,4140000,running_shoe,sport
spaghetti,Spaghetti,<p>Fila Spaghetti. Category: Basketball.</p>,Fila,basketball_shoe,"basketball_shoe, sport, fila",TRUE,Color,White,Size,US 10.5,FILA-SPAGHETTI-WHITE-US10,500,shopify,100,deny,manual,1725000,2070000,TRUE,TRUE,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?w=400,1,Spaghetti,FALSE,Spaghetti | Fila,Buy Spaghetti by Fila. Type: basketball_shoe. Usage: sport.,active,Fila,Spaghetti,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?w=400,1725000,basketball_shoe,sport
uno-bold-move,Uno Bold Move,<p>Skechers Uno Bold Move. Category: Casual.</p>,Skechers,sneaker,"sneaker, casual, skechers",TRUE,Color,Black/White,Size,US 8.5,SKECHERS-UNOBOLDMOV-BLACK/-US8.,500,shopify,100,deny,manual,1610000,1932000,TRUE,TRUE,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?w=400,1,Uno Bold Move,FALSE,Uno Bold Move | Skechers,Buy Uno Bold Move by Skechers. Type: sneaker. Usage: casual.,active,Skechers,Uno Bold Move,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?w=400,1610000,sneaker,casual
nmdr1,NMD_R1,<p>Adidas NMD_R1. Category: Lifestyle.</p>,Adidas,sneaker,"sneaker, casual, adidas",TRUE,Color,Grey,Size,US 8,ADIDAS-NMD_R1-GREY-US8,500,shopify,100,deny,manual,3220000,3864000,TRUE,TRUE,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?w=400,1,NMD_R1,FALSE,NMD_R1 | Adidas,Buy NMD_R1 by Adidas. Type: sneaker. Usage: casual.,active,Adidas,NMD_R1,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?w=400,3220000,sneaker,casual
nano-x1,Nano X1,<p>Reebok Nano X1. Category: Training.</p>,Reebok,training_shoe,"training_shoe, sport, reebok",TRUE,Color,Black,Size,US 9.5,REEBOK-NANOX1-BLACK-US9.,500,shopify,100,deny,manual,2990000,3588000,TRUE,TRUE,https://images.unsplash.com/photo-1460353581641-37baddab0fa2?w=400,1,Nano X1,FALSE,Nano X1 | Reebok,Buy Nano X1 by Reebok. Type: training_shoe. Usage: sport.,active,Reebok,Nano X1,https://images.unsplash.com/photo-1460353581641-37baddab0fa2?w=400,2990000,training_shoe,sport
jack-purcell,Jack Purcell,<p>Converse Jack Purcell. Category: Casual.</p>,Converse,sneaker,"sneaker, casual, converse",TRUE,Color,Navy,Size,US 6.5,CONVERSE-JACKPURCEL-NAVY-US6.,500,shopify,100,deny,manual,1495000,1794000,TRUE,TRUE,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?w=400,1,Jack Purcell,FALSE,Jack Purcell | Converse,Buy Jack Purcell by Converse. Type: sneaker. Usage: casual.,active,Converse,Jack Purcell,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?w=400,1495000,sneaker,casual
calibrate-runner,Calibrate Runner,<p>Puma Calibrate Runner. Category: Running.</p>,Puma,running_shoe,"running_shoe, sport, puma",TRUE,Color,Black,Size,US 11,PUMA-CALIBRATER-BLACK-US11,500,shopify,100,deny,manual,1840000,2208000,TRUE,TRUE,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?w=400,1,Calibrate Runner,FALSE,Calibrate Runner | Puma,Buy Calibrate Runner by Puma. Type: running_shoe. Usage: sport.,active,Puma,Calibrate Runner,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?w=400,1840000,running_shoe,sport
327,327,<p>New Balance 327. Category: Lifestyle.</p>,New Balance,sneaker,"sneaker, casual, new balance",TRUE,Color,Beige,Size,US 10,NEWBALAN-327-BEIGE-US10,500,shopify,100,deny,manual,2300000,2760000,TRUE,TRUE,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?w=400,1,327,FALSE,327 | New Balance,Buy 327 by New Balance. Type: sneaker. Usage: casual.,active,New Balance,327,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?w=400,2300000,sneaker,casual
gel-excite-8,Gel-Excite 8,<p>Asics Gel-Excite 8. Category: Running.</p>,Asics,running_shoe,"running_shoe, sport, asics",TRUE,Color,Pink,Size,US 9,ASICS-GEL-EXCITE-PINK-US9,500,shopify,100,deny,manual,1725000,2070000,TRUE,TRUE,https://images.unsplash.com/photo-1551107696-a4b0c5a0d9a2?w=400,1,Gel-Excite 8,FALSE,Gel-Excite 8 | Asics,Buy Gel-Excite 8 by Asics. Type: running_shoe. Usage: sport.,active,Asics,Gel-Excite 8,https://images.unsplash.com/photo-1551107696-a4b0c5a0d9a2?w=400,1725000,running_shoe,sport
memory-fresh-2,Memory Fresh 2,<p>Fila Memory Fresh 2. Category: Walking.</p>,Fila,sneaker,"sneaker, casual, fila",TRUE,Color,White,Size,US 10,FILA-MEMORYFRES-WHITE-US10,500,shopify,100,deny,manual,1380000,1656000,TRUE,TRUE,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400,1,Memory Fresh 2,FALSE,Memory Fresh 2 | Fila,Buy Memory Fresh 2 by Fila. Type: sneaker. Usage: casual.,active,Fila,Memory Fresh 2,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400,1380000,sneaker,casual
